name,owner,stars,age_days,merged_prs,total_releases,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio,url,description
freeCodeCamp,freeCodeCamp,426262,3894,25731,0,0,TypeScript,19832,19638,99.02178297700685,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free."
build-your-own-x,codecrafters-io,413316,2663,142,0,0,Markdown,824,595,72.20873786407766,https://github.com/codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.
awesome,sindresorhus,394271,4061,679,0,0,Unknown,354,340,96.045197740113,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics
free-programming-books,EbookFoundation,365866,4334,6821,0,0,Python,1181,1152,97.54445385266723,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books
public-apis,public-apis,362583,3442,1872,0,0,Python,712,704,98.87640449438202,https://github.com/public-apis/public-apis,A collective list of free APIs
developer-roadmap,kamranahmedse,334383,3083,3694,1,0,TypeScript,2942,2693,91.53636981645138,https://github.com/kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
coding-interview-university,jwasham,324717,3365,415,0,0,Unknown,516,453,87.79069767441861,https://github.com/jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.
system-design-primer,donnemartin,317230,3100,200,0,0,Python,339,91,26.843657817109147,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
996.ICU,996icu,274139,2342,1071,0,0,Unknown,0,0,0,https://github.com/996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
awesome-python,vinta,256345,4074,544,0,0,Python,0,0,0,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources."
awesome-selfhosted,awesome-selfhosted,243290,3736,2394,1,0,Unknown,806,806,100.0,https://github.com/awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers
project-based-learning,practical-tutorials,240812,3055,182,0,0,Unknown,210,79,37.61904761904762,https://github.com/practical-tutorials/project-based-learning,Curated list of project-based tutorials
react,facebook,238343,4474,12137,105,0,JavaScript,14001,13196,94.25041068495108,https://github.com/facebook/react,The library for web and native user interfaces.
vue,vuejs,209292,4408,1133,249,0,TypeScript,10028,9673,96.459912245712,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
Python,TheAlgorithms,204307,3325,2977,0,0,Python,1587,1511,95.21109010712036,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python
linux,torvalds,200529,5101,10,0,0,C,0,0,0,https://github.com/torvalds/linux,Linux kernel source tree
javascript-algorithms,trekhleb,193062,2709,302,0,0,JavaScript,366,229,62.568306010928964,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
tensorflow,tensorflow,191289,3577,36042,219,0,C++,40742,39845,97.79834077855776,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone
computer-science,ossu,190863,4129,298,0,0,HTML,652,638,97.85276073619632,https://github.com/ossu/computer-science,🎓 Path to a free self-taught education in Computer Science!
the-book-of-secret-knowledge,trimstray,183365,2618,122,0,0,Unknown,0,0,0,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
You-Dont-Know-JS,getify,183007,4298,368,0,0,Unknown,944,863,91.41949152542372,https://github.com/getify/You-Dont-Know-JS,A book series (2 published editions) on the JS language.
CS-Notes,CyC2018,181535,2748,374,0,0,Unknown,571,448,78.45884413309983,https://github.com/CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
ohmyzsh,ohmyzsh,180887,5838,3377,0,0,Shell,4964,4824,97.17969379532634,https://github.com/ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community."
AutoGPT,Significant-Gravitas,178012,891,3199,68,0,Python,3394,3232,95.22687094873305,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
vscode,microsoft,176011,3641,36278,177,0,TypeScript,205599,193468,94.0996794731492,https://github.com/microsoft/vscode,Visual Studio Code
bootstrap,twbs,172895,5138,8974,93,0,MDX,22751,22346,98.21985846775966,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
flutter,flutter,172039,3822,43862,7,0,Dart,108857,96954,89.06547121452915,https://github.com/flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
Python-100-Days,jackfrued,171184,2732,13,0,0,Jupyter Notebook,691,118,17.0767004341534,https://github.com/jackfrued/Python-100-Days,Python - 100天从新手到大师
gitignore,github,168837,5401,1716,0,0,Unknown,0,0,0,https://github.com/github/gitignore,A collection of useful .gitignore templates
the-art-of-command-line,jlevy,157864,3748,317,0,0,Unknown,258,136,52.71317829457365,https://github.com/jlevy/the-art-of-command-line,"Master the command line, in one page"
stable-diffusion-webui,AUTOMATIC1111,155873,1097,1874,27,0,Python,7830,5467,69.82120051085569,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI
JavaGuide,Snailclimb,151385,2665,1180,0,0,Java,1104,1032,93.47826086956522,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
ollama,ollama,150774,788,2475,143,0,Go,8020,6240,77.80548628428927,https://github.com/ollama/ollama,"Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models."
awesome-go,avelino,150619,4066,3458,0,0,Go,688,682,99.12790697674419,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software"
transformers,huggingface,148707,2490,16681,224,0,Python,17822,16737,93.91201885310291,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
javascript,airbnb,147295,4677,810,0,0,JavaScript,1367,1269,92.8310168251646,https://github.com/airbnb/javascript,JavaScript Style Guide
Microsoft-Activation-Scripts,massgravel,145699,2049,6,24,0,Batchfile,721,721,100.0,https://github.com/massgravel/Microsoft-Activation-Scripts,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, KMS38, and Online KMS activation methods, along with advanced troubleshooting."
youtube-dl,ytdl-org,136961,5410,1642,341,0,Python,26770,23125,86.38401195367949,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites
next.js,vercel,133943,3243,23663,1000,0,JavaScript,23389,21069,90.08080721706784,https://github.com/vercel/next.js,The React Framework
awesome-chatgpt-prompts,f,133083,992,171,0,0,JavaScript,0,0,0,https://github.com/f/awesome-chatgpt-prompts,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
n8n,n8n-io,132062,2254,10641,382,0,TypeScript,5189,4566,87.99383310849875,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations."
go,golang,129544,4022,1,0,0,Go,67943,58767,86.4945616178267,https://github.com/golang/go,The Go programming language
tech-interview-handbook,yangshun,129074,3336,481,0,0,TypeScript,115,74,64.34782608695652,https://github.com/yangshun/tech-interview-handbook,💯 Curated coding interview preparation materials for busy software engineers
fucking-algorithm,labuladong,128971,2012,238,1,0,Markdown,920,916,99.56521739130434,https://github.com/labuladong/fucking-algorithm,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
scrcpy,Genymobile,126989,2831,113,47,0,C,5625,3176,56.46222222222222,https://github.com/Genymobile/scrcpy,Display and control your Android device
HelloGitHub,521xueweihan,126055,3398,16,57,0,Python,2840,2651,93.34507042253522,https://github.com/521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
30-seconds-of-code,Chalarangelo,125060,2823,827,12,0,JavaScript,300,300,100.0,https://github.com/Chalarangelo/30-seconds-of-code,Coding articles to level up your development skills
react-native,facebook,123513,3878,930,410,0,C++,27205,26550,97.59235434662746,https://github.com/facebook/react-native,A framework for building native applications using React
yt-dlp,yt-dlp,123488,1762,2909,118,0,Python,9780,8184,83.68098159509204,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader
PowerToys,microsoft,122503,2305,5663,117,0,C#,34577,27576,79.75243659079734,https://github.com/microsoft/PowerToys,Windows system utilities to maximize productivity
electron,electron,118002,4516,23274,1000,0,C++,21050,20295,96.41330166270784,https://github.com/electron/electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
kubernetes,kubernetes,117031,4095,62232,755,0,Go,47701,45786,95.9854091109201,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management
hello-algo,krahets,115685,1023,945,9,0,Java,270,258,95.55555555555556,https://github.com/krahets/hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation"
free-programming-books-zh_CN,justjavac,115044,4310,282,3,0,Unknown,0,0,0,https://github.com/justjavac/free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿
langchain,langchain-ai,114070,1041,14493,948,0,Jupyter Notebook,8645,8433,97.54771544245229,https://github.com/langchain-ai/langchain,🦜🔗 Build context-aware reasoning applications 🦜🔗
node,nodejs,112892,3922,10768,455,0,JavaScript,19464,17743,91.15803534730786,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨
dify,langgenius,111817,864,7076,140,0,TypeScript,12616,11926,94.53075459733672,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.
d3,d3,111336,5443,493,194,0,Shell,2229,2220,99.59623149394348,https://github.com/d3/d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
free-for-dev,ripienaar,110703,3810,2762,0,0,HTML,0,0,0,https://github.com/ripienaar/free-for-dev,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev"
three.js,mrdoob,108238,5631,14404,171,0,JavaScript,13179,12728,96.57788906593824,https://github.com/mrdoob/three.js,JavaScript 3D Library.
open-webui,open-webui,107631,686,2513,122,0,JavaScript,6191,5979,96.57567436601518,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
axios,axios,107448,4022,1001,97,0,JavaScript,4844,4607,95.10734929810074,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js
rust,rust-lang,105977,5546,65683,140,0,Rust,59254,48622,82.0569075505451,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.
excalidraw,excalidraw,105848,2060,3702,14,0,TypeScript,4244,2405,56.66823751178134,https://github.com/excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams
